decoyID	intron_gc	site_gc_49nt
A1CF_50807502	0.382011	0.510204
A2ML1_8826760	0.426762	0.632653
A2ML1_8849532	0.415119	0.510204
A2ML1_8867699	0.415080	0.448980
A2ML1_8867811	0.415080	0.367347
A2M_9100279	0.373457	0.387755
A2M_9103696	0.372855	0.367347
A3GALT2_33309614	0.571553	0.755102
A3GALT2_33311725	0.571553	0.510204
AAAS_53314155	0.468313	0.408163
AACS_125070230	0.520226	0.510204
AACS_125073804	0.520226	0.428571
AACS_125088805	0.506423	0.653061
AACS_125106654	0.494429	0.469388
AACS_125117179	0.546412	0.510204
AACS_125119798	0.518101	0.551020
AACS_125130203	0.503082	0.469388
AACS_125132452	0.503082	0.612245
AADACL3_12722025	0.465263	0.448980
AADAC_151815965	0.361501	0.326531
AADAC_151819330	0.380100	0.448980
AADAT_170069353	0.393068	0.306122
AAGAB_67203352	0.355932	0.408163
AAGAB_67232035	0.385935	0.612245
AAGAB_67234107	0.385935	0.448980
AAGAB_67246573	0.393844	0.448980
AAK1_69511785	0.415569	0.346939
AAK1_69522332	0.442631	0.571429
AAK1_69525388	0.434142	0.489796
AAK1_69531600	0.404798	0.367347
AAMP_218267031	0.548323	0.469388
AANAT_76462888	0.532040	0.510204
AANAT_76469377	0.632047	0.653061
AAR2_36242699	0.427168	0.428571
AARSD1_42957828	0.475475	0.408163
AARS_70260447	0.488961	0.530612
AARS_70265893	0.472445	0.530612
AARS_70272795	0.470862	0.571429
AASS_122125448	0.366994	0.469388
AATF_36986433	0.391513	0.408163
AATF_36988418	0.385562	0.387755
AATF_37049371	0.459911	0.632653
AATK-AS1_81166531	0.754575	0.591837
AATK_81124442	0.671728	0.653061
AATK_81134651	0.584871	0.673469
AATK_81153873	0.584871	0.571429
AATK_81162978	0.584871	0.612245
ABAT_8776279	0.481337	0.673469
ABAT_8779802	0.512224	0.510204
ABC13-47488600E17.1_113967652	0.532071	0.632653
ABC13-47488600E17.1_113968983	0.532071	0.571429
ABC13-47488600E17.1_113969494	0.532071	0.612245
ABC7-42404400C24.1_47762466	0.612676	0.632653
ABCA10_69221257	0.367822	0.346939
ABCA12_214954375	0.367459	0.387755
ABCA12_214987228	0.364924	0.387755
ABCA12_215013480	0.352415	0.428571
ABCA13_48235135	0.427982	0.428571
ABCA13_48235783	0.427982	0.387755
ABCA13_48243863	0.434027	0.469388
ABCA13_48247709	0.420743	0.469388
ABCA13_48280005	0.398734	0.408163
ABCA13_48314032	0.354000	0.448980
ABCA13_48374700	0.368577	0.510204
ABCA13_48510287	0.434410	0.510204
ABCA13_48524143	0.376170	0.387755
ABCA1_104861049	0.418121	0.448980
ABCA3_2278673	0.615702	0.632653
ABCA3_2278677	0.615702	0.632653
ABCA3_2280551	0.554852	0.591837
ABCA3_2280874	0.554852	0.489796
ABCA3_2290332	0.553394	0.673469
ABCA3_2307805	0.505699	0.448980
ABCA3_2323796	0.521678	0.632653
ABCA3_2326594	0.480102	0.448980
ABCA4_94009309	0.485996	0.530612
ABCA4_94009492	0.485996	0.551020
ABCA4_94010929	0.632530	0.530612
ABCA4_94011583	0.511878	0.510204
ABCA4_94035001	0.449532	0.387755
ABCA4_94040935	0.441258	0.428571
ABCA4_94080154	0.447835	0.591837
ABCA4_94108394	0.517851	0.551020
ABCA4_94118567	0.483129	0.571429
ABCA5_69252125	0.379250	0.571429
ABCA6_69081145	0.383903	0.346939
ABCA6_69097451	0.350626	0.367347
ABCA6_69122224	0.365581	0.346939
ABCA6_69128122	0.303098	0.326531
ABCA7_1048436	0.579839	0.632653
ABCA8_68876703	0.430675	0.510204
ABCA8_68884611	0.420526	0.428571
ABCA8_68886735	0.349794	0.265306
ABCA8_68889857	0.337519	0.408163
ABCA8_68906823	0.310914	0.387755
ABCA8_68932629	0.356815	0.387755
ABCA9_68985128	0.475362	0.469388
ABCA9_68993408	0.417438	0.428571
ABCA9_69048428	0.379625	0.448980
ABCB10_229521440	0.399853	0.448980
ABCB10_229527539	0.450519	0.489796
ABCB10_229536361	0.425686	0.306122
ABCB10_229538813	0.425686	0.346939
ABCB10_229547772	0.463446	0.551020
ABCB11_168945046	0.361252	0.224490
ABCB11_169016297	0.415601	0.469388
ABCB1_87508947	0.412256	0.489796
ABCB1_87520506	0.405653	0.408163
ABCB1_87534552	0.378831	0.387755
ABCB1_87550838	0.369952	0.346939
ABCB4_87419673	0.400145	0.530612
ABCB4_87440707	0.341907	0.265306
ABCB4_87448610	0.381245	0.530612
ABCB5_20753576	0.367708	0.387755
ABCB5_20753661	0.367708	0.510204
ABCB9_122944273	0.512224	0.428571
ABCB9_122947348	0.543524	0.571429
ABCC10_43434397	0.530952	0.551020
ABCC10_43434470	0.530952	0.469388
ABCC10_43440381	0.500326	0.530612
ABCC11_48170636	0.520896	0.448980
ABCC11_48175497	0.533201	0.673469
ABCC11_48194258	0.443308	0.428571
ABCC11_48208552	0.450428	0.571429
ABCC11_48230031	0.439725	0.530612
ABCC11_48230862	0.398719	0.448980
ABCC12_48105757	0.526952	0.551020
ABCC12_48114438	0.528253	0.571429
ABCC12_48129028	0.434146	0.530612
ABCC12_48134009	0.466075	0.591837
ABCC12_48134019	0.466075	0.571429
ABCC12_48138028	0.466075	0.489796
ABCC1_16035008	0.462890	0.387755
ABCC1_16036396	0.462890	0.673469
ABCC1_16037274	0.489166	0.510204
ABCC1_16052689	0.466742	0.489796
ABCC1_16103878	0.523881	0.469388
ABCC1_16104011	0.523881	0.510204
ABCC1_16112918	0.486648	0.530612
ABCC1_16121821	0.468687	0.612245
ABCC1_16125159	0.454139	0.489796
ABCC1_16129466	0.466735	0.448980
ABCC2_99797017	0.461568	0.510204
ABCC2_99808948	0.465861	0.387755
ABCC2_99833559	0.427936	0.428571
ABCC3_50672847	0.472690	0.591837
ABCC3_50673336	0.624242	0.632653
ABCC3_50676245	0.609626	0.632653
ABCC3_50688672	0.544481	0.612245
ABCC4_95078759	0.458224	0.469388
ABCC4_95185479	0.418632	0.408163
ABCC4_95192191	0.447640	0.551020
ABCC4_95194241	0.447640	0.530612
ABCC5_183947135	0.405347	0.489796
ABCC5_183949917	0.555556	0.612245
ABCC5_183967900	0.452582	0.489796
ABCC5_183978975	0.448130	0.387755
ABCC5_184017049	0.449438	0.571429
ABCC5_184017137	0.449438	0.653061
ABCC6_16162518	0.489496	0.387755
ABCC6_16173551	0.488827	0.387755
ABCC6_16182604	0.562791	0.469388
ABCC6_16185184	0.500718	0.571429
ABCC6_16186105	0.500718	0.510204
ABCC6_16190482	0.560520	0.551020
ABCC6_16190541	0.560520	0.591837
ABCC8_17400096	0.508651	0.551020
ABCC8_17403180	0.461889	0.551020
ABCC8_17414004	0.541142	0.551020
ABCC9_21848344	0.365714	0.428571
ABCC9_21894411	0.400000	0.326531
ABCC9_21907288	0.350112	0.346939
ABCD1_153737374	0.612796	0.591837
ABCD1_153738761	0.586972	0.530612
ABCD1_153742055	0.600794	0.469388
ABCD3_94467854	0.344171	0.265306
ABCD3_94479982	0.330540	0.367347
ABCE1_145127089	0.400578	0.428571
ABCF2_151223582	0.455231	0.448980
ABCF2_151224338	0.453858	0.448980
ABCG1_42282521	0.615421	0.591837
ABCG1_42282767	0.615421	0.571429
ABCG1_42286714	0.550158	0.632653
ABCG1_42287591	0.550158	0.591837
ABCG1_42290025	0.484168	0.632653
ABCG2_88110236	0.402087	0.285714
ABCG4_119157294	0.480722	0.551020
ABCG8_43839959	0.487199	0.530612
ABCG8_43876378	0.526316	0.551020
ABHD10_111982656	0.346601	0.326531
ABHD10_111983464	0.346601	0.346939
ABHD10_111986076	0.346601	0.530612
ABHD10_111987715	0.335723	0.326531
ABHD12B_50880221	0.439863	0.387755
ABHD12_25307532	0.499048	0.612245
ABHD16A_31689757	0.563003	0.632653
ABHD16A_31697285	0.437308	0.387755
ABHD18_128014324	0.414871	0.326531
ABHD2_89153352	0.384747	0.367347
ABHD2_89191561	0.445564	0.387755
ABHD3_21702765	0.376037	0.265306
ABHD4_22605527	0.481640	0.591837
ABHD4_22606779	0.454545	0.530612
ABHD4_22610666	0.503165	0.367347
ABHD5_43692357	0.410272	0.428571
ABHD5_43699070	0.410272	0.367347
ABHD5_43704480	0.379454	0.326531
ABHD5_43706225	0.379454	0.469388
ABHD6_58267187	0.419059	0.510204
ABHD6_58268981	0.452152	0.571429
ABHD6_58289216	0.523171	0.346939
ABI1_26750201	0.347475	0.285714
ABI1_26752662	0.327975	0.367347
ABI1_26768766	0.382961	0.469388
ABI1_26844732	0.405011	0.367347
ABI2_203383320	0.374816	0.408163
ABI2_203398732	0.364836	0.489796
ABI3BP_100751946	0.366906	0.326531
ABI3BP_100799223	0.359606	0.367347
ABI3BP_100899780	0.364491	0.326531
ABI3BP_100901973	0.364491	0.265306
ABI3_49215056	0.500791	0.326531
ABL1_130855560	0.459953	0.489796
ABL1_130869444	0.469372	0.448980
ABL1_130875706	0.477692	0.408163
ABL1_130878326	0.477692	0.530612
ABL1_130878339	0.477692	0.387755
ABL1_130879751	0.420000	0.387755
ABL1_130881645	0.511199	0.510204
ABL2_179110078	0.472619	0.469388
ABL2_179129288	0.398879	0.306122
ABLIM1_114436534	0.447619	0.571429
ABLIM1_114438855	0.479616	0.530612
ABLIM1_114440338	0.442287	0.469388
ABLIM1_114450140	0.398557	0.387755
ABLIM1_114473162	0.319035	0.346939
ABLIM1_114474222	0.428184	0.448980
ABLIM2_8008710	0.511190	0.469388
ABLIM2_8008917	0.511190	0.612245
ABLIM2_8047767	0.556562	0.510204
ABLIM2_8048362	0.556562	0.612245
ABLIM3_149211553	0.454309	0.408163
ABLIM3_149230391	0.447287	0.489796
ABLIM3_149231238	0.417295	0.632653
ABLIM3_149245504	0.471351	0.591837
ABLIM3_149245541	0.471351	0.469388
ABLIM3_149246230	0.471351	0.306122
ABLIM3_149248227	0.487533	0.551020
ABLIM3_149256209	0.454979	0.387755
ABO_133260810	0.581668	0.448980
ABO_133262203	0.439237	0.489796
ABRACL_139033281	0.483993	0.428571
ABRACL_139033404	0.483993	0.591837
ABR_1006774	0.679397	0.734694
ABR_1006839	0.679397	0.734694
ABR_1006904	0.679397	0.734694
ABR_1006973	0.679397	0.693878
ABR_1007034	0.679397	0.734694
ABR_1007099	0.679397	0.734694
ABR_1011661	0.601833	0.469388
ABR_1038355	0.582378	0.591837
ABR_1051002	0.610000	0.510204
ABR_1054266	0.610000	0.591837
ABR_1073980	0.595541	0.653061
ABR_1075528	0.595541	0.673469
ABR_1077971	0.595541	0.632653
ABR_1090319	0.541869	0.653061
ABR_1093155	0.556112	0.469388
ABTB2_34156249	0.558993	0.571429
ABTB2_34161769	0.578313	0.428571
ABTB2_34201948	0.485368	0.448980
AC000120.7_92204503	0.384015	0.367347
AC004381.6_20827671	0.333333	0.367347
AC004381.6_20841747	0.379509	0.612245
AC004702.2_20276623	0.447931	0.530612
AC005160.3_40783480	0.406716	0.265306
AC005224.2_14214179	0.468702	0.489796
AC005281.1_12538758	0.425091	0.551020
AC006129.2_41555208	0.354545	0.387755
AC007204.2_19958143	0.412364	0.571429
AC012358.7_55216266	0.394484	0.489796
AC020594.5_33556621	0.425274	0.387755
AC020594.5_33558610	0.471642	0.489796
AC074286.1_177334585	0.385939	0.428571
AC078852.2_1358325	0.588225	0.653061
AC079584.3_143603735	0.380249	0.448980
AC092835.2_95211401	0.384589	0.469388
AC092835.2_95211588	0.384589	0.489796
AC104389.28_5477380	0.392776	0.591837
AC107072.2_76639483	0.488506	0.551020
AC131097.4_241899523	0.559378	0.653061
AC138517.6_139471292	0.546039	0.632653
AC138647.1_141516441	0.577926	0.510204
ACAA1_38132921	0.493834	0.448980
ACAA2_49790842	0.387293	0.306122
ACACA_37089161	0.459917	0.530612
ACACA_37129257	0.367787	0.346939
ACACA_37205956	0.348352	0.346939
ACACA_37210679	0.378884	0.510204
ACACA_37242304	0.441154	0.326531
ACACA_37254203	0.376982	0.387755
ACACA_37275118	0.416717	0.408163
ACACB_109184329	0.406848	0.591837
ACACB_109186844	0.475199	0.571429
ACACB_109192055	0.483206	0.571429
ACACB_109192960	0.483206	0.428571
ACACB_109208035	0.498700	0.428571
ACACB_109259984	0.519329	0.530612
ACAD10_111705367	0.425737	0.571429
ACAD10_111710436	0.449698	0.469388
ACAD10_111712192	0.449698	0.489796
ACAD10_111715030	0.489093	0.448980
ACAD10_111718641	0.432901	0.408163
ACAD10_111725810	0.531662	0.612245
ACAD10_111747047	0.486911	0.530612
ACAD10_111750980	0.485766	0.530612
ACAD11_132604977	0.325989	0.367347
ACAD11_132627620	0.373850	0.469388
ACAD11_132638124	0.359086	0.326531
ACAD11_132640506	0.387041	0.408163
ACAD11_132643268	0.383149	0.551020
ACAD8_134258799	0.498695	0.551020
ACAD9_128885533	0.428361	0.612245
ACAD9_128901536	0.460515	0.448980
ACADL_210192363	0.334489	0.510204
ACADL_210197036	0.374499	0.408163
ACADL_210221008	0.416286	0.387755
ACADM_75738766	0.386844	0.428571
ACADSB_123038861	0.404889	0.510204
ACAN_88836869	0.521375	0.591837
ACAP1_7341673	0.490389	0.530612
ACAP1_7341778	0.490389	0.489796
ACAP1_7351218	0.657627	0.755102
ACAP2_195417845	0.388374	0.551020
ACAP3_1295074	0.677778	0.795918
ACAT1_108144832	0.400650	0.448980
ACAT2_159768771	0.407889	0.326531
