decoyID	species	max1	pos1	max2	pos2	d
ACBD5_27211797	oryAfe1	0.64121	49	0.327342	72	0.667037
ANKRD26_27026002	oryAfe1	0.537862	38	0.006711	75	0.946786
ITIH2_7733971	oryAfe1	0.54176	48	0.292907	72	0.593261
MYO3A_26017146	oryAfe1	0.871889	48	0.035024	74	0.222771
UPF2_11943592	oryAfe1	0.271943	49	0.021508	76	0.417984
GSTO1_104257482	oryAfe1	0.465469	48	0.193836	71	0.489777
TBC1D12_94507506	oryAfe1	0.567833	48	0.425358	79	0.498926
INPP5A_132708559	oryAfe1	0.907123	48	0.005769	76	0.905446
LGR4_27383658	oryAfe1	0.335269	49	0.007658	70	0.180921
CHKA_68062743	oryAfe1	0.906616	49	0.189118	73	0.509649
SLC15A5_16217615	oryAfe1	0.887007	49	0.005344	74	0.351842
TRHDE_72653681	oryAfe1	0.476902	48	0.46757	72	0.034302
NFYB_104121613	oryAfe1	0.969824	49	0.002623	77	0.804403
DHX37_124963939	oryAfe1	0.427507	49	0.017362	79	0.973625
BRCA2_32325889	oryAfe1	0.848022	48	0.360362	78	0.328497
ZC3H13_45957695	oryAfe1	0.562482	49	0.096475	71	0.687556
NIN_50738723	oryAfe1	0.911222	49	0.051709	79	0.084112
DLK1_100732288	oryAfe1	0.891202	51	0.259588	76	0.186693
UNC79_93579817	oryAfe1	0.700538	48	0.316489	79	0.51359
AQR_34904653	oryAfe1	0.685912	49	0.027662	73	0.363027
ATP10A_25722028	oryAfe1	0.528797	49	0.439249	72	0.303448
DENND4A_65719472	oryAfe1	0.54809	49	0.122991	75	0.642449
CHD2_93023486	oryAfe1	0.551818	48	0.013786	70	0.405334
PPL_4887382	oryAfe1	0.919924	49	0.001786	77	0.703142
SYNGR3_1992414	oryAfe1	0.935271	48	0.003213	75	0.298097
PHKB_47497985	oryAfe1	0.823398	48	0.008679	74	0.184801
CNTNAP4_76556848	oryAfe1	0.718666	48	0.188813	79	0.141654
CYBA_88647828	oryAfe1	0.504921	49	0.000773	76	0.818083
DNAAF1_84171817	oryAfe1	0.002185	51	0.001138	71	0.958504
GALNS_88825470	oryAfe1	0.731591	49	1e-06	78	0.950027
CBLC_44779829	oryAfe1	0.775631	48	0.702116	76	0.717123
SLC7A9_32858645	oryAfe1	0.923993	49	0.001267	72	0.7526
VPS13D_12311354	oryAfe1	0.500805	48	0.317105	79	0.511709
WDR47_109013594	oryAfe1	0.676496	49	0.302323	70	0.702441
RABGAP1L_174220435	oryAfe1	0.918067	48	0.011755	72	0.197101
HMCN1_186127657	oryAfe1	0.886256	48	0.013133	76	0.363208
RYR2_237659267	oryAfe1	0.823302	48	0.00025	70	0.32372
RALGAPB_38554596	oryAfe1	0.492567	48	0.365267	71	0.331146
C21orf91_17796171	oryAfe1	0.825193	49	0.034506	70	0.3
PI4KA_20810796	oryAfe1	0.970892	49	0.546989	79	0.820635
PRR5_44733323	oryAfe1	0.741394	48	2e-06	72	0.961997
SELENOO_50212683	oryAfe1	0.884484	48	0.000738	75	0.96745
TUBGCP6_50241736	oryAfe1	0.876566	49	0.359249	75	0.898235
RNF144A_7014624	oryAfe1	0.422057	48	0.055827	71	0.009901
ADD2_70688560	oryAfe1	0.448111	49	0.01028	72	0.261431
CPO_206966310	oryAfe1	0.962108	48	0.043444	79	0.105143
ITGA9_37472270	oryAfe1	0.962861	48	0.01931	70	0.40388
SLMAP_57861006	oryAfe1	0.334849	48	0.237449	79	0.202936
PDIA5_123102693	oryAfe1	0.75521	48	0.629646	79	0.118033
XRN1_142415447	oryAfe1	0.583034	49	0.065687	77	0.37349
JAKMIP1_6055197	oryAfe1	0.888229	49	0.005276	71	0.921063
KIAA0232_6879253	oryAfe1	0.770415	45	1e-06	76	0.978421
TACC3_1729405	oryAfe1	0.438288	45	6e-06	71	0.961825
ABCE1_145111189	oryAfe1	0.606029	48	0.097934	70	0.273917
ACSL1_184767818	oryAfe1	0.695192	49	0.049509	73	0.604478
PALLD_168914498	oryAfe1	0.764571	48	0.220496	74	0.190947
DNAH5_13751557	oryAfe1	0.156024	49	5.3e-05	74	0.857918
