decoyID	species	max1	pos1	max2	pos2	d
CDNF_14837155	oryAfe1	0.000148	4	0.50277	201	0.187612
PARD3_34564782	oryAfe1	1e-05	15	0.361164	1627	0.411013
DOCK1_126944196	oryAfe1	0.000144	91	0.471019	1228	0.637031
PNPLA2_820135	oryAfe1	0.011855	72	0.563992	194	0.32894
PTDSS2_454361	oryAfe1	0.037833	87	0.141575	156	0.971082
FOLH1_49199220	oryAfe1	0.00042	1	1e-06	27	0.995442
ANKRD49_94494657	oryAfe1	0.000748	48	0.645276	178	0.001125
MUC19_40500908	oryAfe1	0.004634	19	0.000152	60	0.920821
MUC19_40509271	oryAfe1	0.00043	18	1.4e-05	43	0.948454
ATP23_57946829	oryAfe1	0.000633	0	0.811978	102	0.497804
HPD_121862226	oryAfe1	0.003072	44	0.666728	823	0.762784
SETD1B_121804388	oryAfe1	0.005177	37	0.952353	121	0.528014
BRCA2_32330575	oryAfe1	0.009743	2	0.013027	182	0.797288
ATP11A_112807741	oryAfe1	0.015565	30	0.006113	73	0.960443
PNN_39175521	oryAfe1	0.00044	27	0.804181	128	0.109735
PROX2_74861210	oryAfe1	0.00062	86	0.708982	613	0.195295
C14orf159_91162440	oryAfe1	0.010168	48	0.535289	179	0.637597
C14orf159_91170741	oryAfe1	0.002065	53	0.817465	163	0.670747
GANC_42309178	oryAfe1	0.004616	52	0.512204	212	0.437227
EFL1_82218857	oryAfe1	0.003753	79	0.204671	118	0.971808
CAPN15_528231	oryAfe1	0.011375	19	0.657679	257	0.673483
TNRC6A_24730106	oryAfe1	0.001046	2	0.8173	258	0.483168
CMIP_81516552	oryAfe1	0.000502	68	0.386332	34205	0.4157
DNAAF1_84171817	oryAfe1	0.000676	51	0.263351	112	0.935065
ZNRF1_75096324	oryAfe1	0.014325	30	0.34687	264	0.397394
ATAD5_30889635	oryAfe1	0.043728	12	0.273684	134	0.718545
MED24_40027351	oryAfe1	0.006839	52	0.999468	7271	0.228997
CTD-2501B8.1_63507193	oryAfe1	0.034434	53	0.300752	128	0.013216
PCTP_55773503	oryAfe1	0.018434	48	0.316901	384	0.298445
WDR7_56743213	oryAfe1	0	52	0.233615	5022	0.320563
ZNF236_76916905	oryAfe1	0.006588	10	0.000557	35	0.985305
INPP5B_37874237	oryAfe1	0.039723	49	0.884751	117	0.517108
NFIA_61365832	oryAfe1	1e-06	35	0.0725	10920	0.160633
SNX27_151620045	oryAfe1	1e-06	30	0.100225	3523	0.417844
TNR_175331999	oryAfe1	0.046787	78	0.210648	1047	0.242681
DHX35_39018157	oryAfe1	0.000688	38	0.960151	263	0.766633
SMC1B_45346787	oryAfe1	0.040073	31	0.322258	572	0.763214
ZC3H7B_41350095	oryAfe1	0.022764	23	0.75065	276	0.057676
M1AP_74647274	oryAfe1	0.000112	15	0.679286	146	0.631069
ARHGAP15_143603729	oryAfe1	0.008576	63	0.083139	823	0.218959
STAT1_191011600	oryAfe1	0.028301	10	0.448197	112	0.337939
TRAF3IP1_238344180	oryAfe1	0.017374	73	0.480224	990	0.807755
QTRT2_114060283	oryAfe1	0.005787	45	0.983751	217	0.491068
MAEA_1325045	oryAfe1	0.004299	87	0.778218	359	0.833589
ARL9_56508662	oryAfe1	0.015762	98	0.946082	665	0.602702
STIM2_26961145	oryAfe1	1e-06	83	0.511942	2091	0.408678
ADCY2_7711218	oryAfe1	0.001925	3	0.92387	141	0.958509
PAPD7_6740919	oryAfe1	0.023681	19	0.049185	187	0.913012
AGXT2_35039648	oryAfe1	0.00573	83	0.000215	107	0.886695
DAB2_39394151	oryAfe1	0.015716	9	0.576996	464	0.182888
WDR70_37697617	oryAfe1	0.000102	70	0.082545	7434	0.746938
ARHGEF28_73776226	oryAfe1	0.03071	5	0.116457	118	0.097438
FBN2_128645900	oryAfe1	0.029691	49	0.692195	140	0.311346
HMMR_163482253	oryAfe1	0.017609	46	0.566437	105	0.793401
SIRT5_13580305	oryAfe1	0.021532	96	0.014763	606	0.392333
COL19A1_70135143	oryAfe1	0.020432	51	0.835486	323	0.290476
MDN1_89780392	oryAfe1	0.015029	26	0.920806	120	0.606312
TBC1D32_121111994	oryAfe1	0.007439	3	0.074621	586	0.507609
KIF25_168042274	oryAfe1	0.001398	48	4e-04	71	0.848425
PLG_160731415	oryAfe1	4e-06	3	1e-06	24	0.949264
PLG_160734481	oryAfe1	0.015901	23	0.046354	161	0.923024
RPS6KA2_166418498	oryAfe1	0.010577	70	0.000258	93	0.942613
CYP3A7_99713787	oryAfe1	0.037008	38	0.769235	117	0.670841
MYL10_101623361	oryAfe1	0.025447	33	0.146995	164	0.824524
PRKAR2B_107125269	oryAfe1	0.00517	54	0.777498	203	0.664447
FRMPD1_37741351	oryAfe1	0.015149	25	0.463095	955	0.405218
PCSK5_76170408	oryAfe1	0.044837	38	0.100808	180	0.560069
TDRD7_97429974	oryAfe1	0.007455	32	0.463825	126	0.497245
HUWE1_53683369	oryAfe1	0.020934	49	0.685666	168	0.146329
KLHL4_87666380	oryAfe1	0.002507	30	0.293533	350	0.181319
NRK_105946590	oryAfe1	0.04353	48	0.084747	170	0.108757
UTY_13304181	oryAfe1	0.011899	34	0.482191	355	0.689146
PARD3_34564782	vicPac2	0.000104	0	0.834465	48486	0.539644
DOCK1_126944196	vicPac2	4.2e-05	2	0.806972	9299	0.422582
NAV2_20057115	vicPac2	0.042049	31	0.85057	100	0.072702
PTDSS2_454361	vicPac2	0.015201	84	0.294132	168	0.669983
TEAD1_12675014	vicPac2	0.02158	55	0.01157	228	0.531947
KIAA1549L_33666873	vicPac2	0.007717	36	0.103178	189	0.371858
POU2F3_120243225	vicPac2	0.012233	31	0.720954	132	0.054242
ACVRL1_51909040	vicPac2	0.004053	92	0.407107	728	0.260209
FBXO21_117162892	vicPac2	0.045179	14	0.405646	399	0.433644
RFX4_106713279	vicPac2	0.024991	7	0.738888	117	0.183984
HPD_121862226	vicPac2	0.024991	3	0.402574	614	0.714801
BRCA2_32330575	vicPac2	0.004597	2	0.690013	154	0.818983
PARP4_24479887	vicPac2	0.037017	49	0.957241	133	0.890965
IPO5_98013863	vicPac2	0.005837	87	0.238988	191	0.551724
VPS36_52449528	vicPac2	0.040033	24	0.702883	159	0.485157
DOCK9_98832386	vicPac2	0.014036	10	0.376386	106	0.019916
