species	max1	pos1	max2	pos2	d	packed
hg38	0.869069	49	0.229939	358	0.000000	[0.869069][49][0.229939][358][0.000000]
panTro4	0.880310	49	0.227607	358	0.001106	[0.880310][49][0.227607][358][0.001106]
gorGor3	0.876970	49	0.228704	358	0.001106	[0.876970][49][0.228704][358][0.001106]
ponAbe2	0.769335	50	0.229272	372	0.043142	[0.769335][50][0.229272][372][0.043142]
nomLeu3	0.835834	49	0.214961	362	0.007743	[0.835834][49][0.214961][362][0.007743]
rheMac3	0.903146	49	0.319678	360	0.005531	[0.903146][49][0.319678][360][0.005531]
macFas5	0.936127	49	0.360789	360	0.005531	[0.936127][49][0.360789][360][0.005531]
papAnu2	0.864091	49	0.293201	360	0.007743	[0.864091][49][0.293201][360][0.007743]
chlSab2	0.901033	49	0.262843	360	0.004425	[0.901033][49][0.262843][360][0.004425]
calJac3	0.681450	49	0.261668	350	0.015487	[0.681450][49][0.261668][350][0.015487]
saiBol1	0.818466	49	0.207434	358	0.004425	[0.818466][49][0.207434][358][0.004425]
otoGar3	0.860540	49	0.163019	339	0.035398	[0.860540][49][0.163019][339][0.035398]
tupChi1	0.855939	49	0.064583	352	0.003319	[0.855939][49][0.064583][352][0.003319]
speTri2	0.793550	49	0.166026	354	0.002212	[0.793550][49][0.166026][354][0.002212]
jacJac1	0.759342	49	0.498552	324	0.060841	[0.759342][49][0.498552][324][0.060841]
micOch1	0.752238	49	0.313503	367	0.037611	[0.752238][49][0.313503][367][0.037611]
criGri1	0.796352	49	0.254175	362	0.004425	[0.796352][49][0.254175][362][0.004425]
mesAur1	0.856973	49	0.361092	360	0.006637	[0.856973][49][0.361092][360][0.006637]
mm10	0.793492	49	0.250758	363	0.004425	[0.793492][49][0.250758][363][0.004425]
rn6	0.802919	49	0.235504	361	0.006637	[0.802919][49][0.235504][361][0.006637]
hetGla2	0.774172	49	0.115469	350	0.008850	[0.774172][49][0.115469][350][0.008850]
cavPor3	0.792106	49	0.039951	346	0.001106	[0.792106][49][0.039951][346][0.001106]
chiLan1	0.858255	49	0.284918	349	0.003319	[0.858255][49][0.284918][349][0.003319]
octDeg1	0.763666	49	0.364021	339	0.045354	[0.763666][49][0.364021][339][0.045354]
oryCun2	0.786759	49	0.266339	360	0.007743	[0.786759][49][0.266339][360][0.007743]
ochPri3	0.887825	49	0.303842	366	0.015487	[0.887825][49][0.303842][366][0.015487]
susScr3	0.906582	49	0.337684	364	0.005531	[0.906582][49][0.337684][364][0.005531]
vicPac2	0.791072	49	0.245342	357	0.002212	[0.791072][49][0.245342][357][0.002212]
camFer1	0.810977	49	0.202363	357	0.002212	[0.810977][49][0.202363][357][0.002212]
turTru2	0.845537	49	0.163317	358	0.015487	[0.845537][49][0.163317][358][0.015487]
orcOrc1	0.820905	49	0.195692	358	0.017699	[0.820905][49][0.195692][358][0.017699]
panHod1	0.816242	49	0.304968	370	0.021018	[0.816242][49][0.304968][370][0.021018]
bosTau8	0.801983	49	0.494633	349	0.084071	[0.801983][49][0.494633][349][0.084071]
oviAri3	0.907633	49	0.209461	372	0.022124	[0.907633][49][0.209461][372][0.022124]
capHir1	0.762861	49	0.232235	369	0.025442	[0.762861][49][0.232235][369][0.025442]
equCab2	0.839490	49	0.249154	355	0.009956	[0.839490][49][0.249154][355][0.009956]
cerSim1	0.909556	49	0.134010	358	0.024336	[0.909556][49][0.134010][358][0.024336]
felCat8	0.917402	49	0.429512	358	0.005531	[0.917402][49][0.429512][358][0.005531]
canFam3	0.834723	49	0.115514	355	0.011062	[0.834723][49][0.115514][355][0.011062]
musFur1	0.854392	49	0.127649	360	0.009956	[0.854392][49][0.127649][360][0.009956]
ailMel1	0.699811	49	0.287679	358	0.014381	[0.699811][49][0.287679][358][0.014381]
odoRosDiv1	0.783201	49	0.287042	360	0.021018	[0.783201][49][0.287042][360][0.021018]
lepWed1	0.856523	49	0.218566	356	0.028761	[0.856523][49][0.218566][356][0.028761]
pteAle1	0.877853	49	0.417246	348	0.044248	[0.877853][49][0.417246][348][0.044248]
pteVam1	0.878141	49	0.410413	348	0.044248	[0.878141][49][0.410413][348][0.044248]
eptFus1	0.817654	49	0.195976	353	0.003319	[0.817654][49][0.195976][353][0.003319]
myoDav1	0.741932	49	0.296974	351	0.015487	[0.741932][49][0.296974][351][0.015487]
myoLuc2	0.734114	49	0.414064	351	0.014381	[0.734114][49][0.414064][351][0.014381]
eriEur2	0.780381	49	0.276801	353	0.046460	[0.780381][49][0.276801][353][0.046460]
sorAra2	0.724989	49	0.211701	372	0.035398	[0.724989][49][0.211701][372][0.035398]
conCri1	0.882294	49	0.204830	354	0.022124	[0.882294][49][0.204830][354][0.022124]
loxAfr3	0.822544	49	0.186165	367	0.004425	[0.822544][49][0.186165][367][0.004425]
eleEdw1	0.817914	49	0.230432	323	0.103982	[0.817914][49][0.230432][323][0.103982]
triMan1	0.869313	49	0.134703	356	0.011062	[0.869313][49][0.134703][356][0.011062]
chrAsi1	0.698343	49	0.058350	353	0.002212	[0.698343][49][0.058350][353][0.002212]
echTel2	0.832868	49	0.211296	356	0.049779	[0.832868][49][0.211296][356][0.049779]
oryAfe1	0.846290	49	0.151131	356	0.009956	[0.846290][49][0.151131][356][0.009956]
dasNov3	0.830730	49	0.193180	349	0.022124	[0.830730][49][0.193180][349][0.022124]
monDom5	0.598684	49	0.191699	622	0.149336	[0.598684][49][0.191699][622][0.149336]
sarHar1	0.569957	49	0.185984	629	0.148230	[0.569957][49][0.185984][629][0.148230]
