candidate_group	GENE	EVENT	COORD	intron_length	chr	strand	decoyID	start	end	decoy_coord_1based	decoy_distance_from_canonical_5ss	intron_start	intron_end	mESC_lift_Chr	mESC_lift_Start	mESC_lift_End	mESC_ir_Chr	mESC_ir_Start	mESC_ir_End	mESC_ir_gene	mESC_IRratio_mean	mESC_IR_overlap_bp	psi_count_ge10	psi_count_ge10_brain	brain_retained	SpliceAI_score	phastCons100_mean	phastCons470_mean	MaxEnt_decoy	MaxEnt_canonical
	A1CF	HsaINT0000013	chr10:50806881-50809893	3013	chr10	-	A1CF_50807502	50807502	50807503	50807503	2390	50806881	50809893	chr19	31946218	31946283	chr19	31945938	31947358	A1cf	0	66	27	9	TRUE	0.152822	0.0736465	0.112208	10.06	9.99
	A2M	HsaINT0000028	chr12:9099524-9101143	1620	chr12	-	A2M_9100279	9100279	9100280	9100280	863	9099524	9101143	chr6	121649454	121649540	chr6	121648669	121649766	A2m	0.0453275666666667	87	15	5	TRUE	0.254284	0.0308611	0.0498721	9.79	8.34
	A2M	HsaINT0000046	chr12:9112212-9112376	165	chr12	-	A2M_9112308	9112308	9112309	9112309	67	9112212	9112376	chr6	121639445	121639489	chr6	121639363	121639514	A2m	0.0528315333333333	45	14	1	FALSE	0.001562	0.123345	0.149309	1.9	9.46
	A2M	HsaINT0000035	chr12:9112537-9113359	823	chr12	-	A2M_9112634	9112634	9112635	9112635	724	9112537	9113359	chr6	121638757	121638833	chr6	121638460	121639205	A2m	0.010441	77	17	3	TRUE	0.024189	0.0462539	0.0563268	5.17	7.39
	AAAS	HsaINT0000109	chr12:53308529-53308724	196	chr12	-	AAAS_53308528	53308528	53308529	53308529	195	53308529	53308724	chr15	102339467	102339502	chr15	102339419	102339530	Aaas	0.187347	36	0	0	FALSE	0.12515	0.0475663	0.0522701	10.07	8.95
	AACS	HsaINT0000136	chr12:125103082-125107120	4039	chr12	+	AACS_125106392	125106392	125106393	125106393	3311	125103082	125107120	chr5	125505137	125505209	chr5	125503631	125506148	Aacs	0	73	6	0	FALSE	0.029784	0.0219193	0.0151384	7.79	-14.43
	AACS	HsaINT0000137	chr12:125107269-125114476	7208	chr12	+	AACS_125109838	125109838	125109839	125109839	2570	125107269	125114476	chr5	125506488	125506528	chr5	125506297	125508676	Aacs	0.0276179666666667	41	4	1	FALSE	0.035507	0.0229009	0.0166572	7.43	-7.7
	AACS	HsaINT0000127	chr12:125129461-125134002	4542	chr12	+	AACS_125132452	125132452	125132453	125132453	2992	125129461	125134002	chr5	125513887	125513918	chr5	125513228	125513918	Aacs	0.0208869666666667	32	15	3	TRUE	0.122535	0.0297587	0.0157362	9.6	-13.49
	AADACL2	HsaINT0000149	chr3:151734174-151740645	6472	chr3	+	AADACL2_151736009	151736009	151736010	151736010	1836	151734174	151740645	chr3	60007345	60007395	chr3	60007116	60010469	Aadacl2	0	51	20	1	FALSE	0.210948	0.0398517	0.01894	9.16	-26.46
	AADACL2	HsaINT0000150	chr3:151740869-151744092	3224	chr3	+	AADACL2_151741299	151741299	151741300	151741300	431	151740869	151744092	chr3	60014002	60014095	chr3	60010693	60017374	Aadacl2	0	94	23	1	FALSE	0.008846	0.0356858	0.0359069	9.68	-38.5
	AADAT	HsaINT0000169	chr4:170069231-170070586	1356	chr4	-	AADAT_170069353	170069353	170069354	170069354	1232	170069231	170070586	chr8	60531455	60531519	chr8	60529442	60531665	Aadat	0	65	106	23	TRUE	0.147244	0.023472	0.0313636	10.57	11
	AAK1	HsaINT0000182	chr2:69520989-69525032	4044	chr2	-	AAK1_69522332	69522332	69522333	69522333	2699	69520989	69525032	chr6	86952457	86952537	chr6	86950861	86955103	Aak1	0	81	24	0	FALSE	0.176644	0.0451459	0.0861012	9.81	10.77
	AAK1	HsaINT0000198	chr2:69530707-69532040	1334	chr2	-	AAK1_69531600	69531600	69531601	69531601	439	69530707	69532040	chr6	86944553	86944649	chr6	86944479	86946103	Aak1	0.0733175666666667	97	44	2	FALSE	0.108421	0.0667796	0.160044	10.13	6.95
	AAR2	HsaINT0022974	chr20:36236783-36239820	3038	chr20	+	AAR2_36238358	36238358	36238359	36238359	1576	36236783	36239820	chr2	156550477	156550542	chr2	156547884	156550648	Aar2	0.0200913333333333	66	108	20	TRUE	0.079084	0.0682561	0.112001	9.21	-38.5
