locus_id	gene	chrom	locus_start	locus_end	locus_strand	splice_score	snaptron_id	intron_start	intron_end	samples_count	coverage_sum	coverage_avg	coverage_median	left_annotated	right_annotated	source_dataset_id	annotated
KLHL17_964347	KLHL17	chr1	964347	964348	+	0.063502	78189	964168	964348	18307	199413	10.893	9.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
KLHL17_964347	KLHL17	chr1	964347	964348	+	0.063502	78199	964181	964348	18179	159361	8.766	7.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
AGRN_1042747	AGRN	chr1	1042747	1042748	+	0.025351	83489	1042749	1043238	10059	30850	3.067	2.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	2	1
DVL1_1339812	DVL1	chr1	1339812	1339813	-	0.020732	108333	1339813	1340037	19073	2549934	133.693	116.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	2	1
CCDC27_3753202	CCDC27	chr1	3753202	3753203	+	0.107973	273754	3753204	3754117	441	7996	18.132	15.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
DFFB_3869603	DFFB	chr1	3869603	3869604	+	0.382597	277940	3868054	3869604	18018	126023	6.994	6.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
ESPN_6446379	ESPN	chr1	6446379	6446380	+	0.183238	305441	6446381	6448640	614	1449	2.36	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
GPR157_9105481	GPR157	chr1	9105481	9105482	-	0.018175	351065	9104635	9105485	14319	105610	7.376	4.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
CLSTN1_9740657	CLSTN1	chr1	9740657	9740658	-	0.004447	366656	9736043	9740657	2263	2898	1.281	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	sG19,sG38	2	1
CLSTN1_9740657	CLSTN1	chr1	9740657	9740658	-	0.004447	366789	9737555	9740657	1012	1197	1.183	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	sG19,sG38	2	1
PGD_10417350	PGD	chr1	10417350	10417351	+	0.010296	393841	10417118	10417355	5007	10449	2.087	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
C1orf127_10957193	C1orf127	chr1	10957193	10957194	-	0.065931	403944	10957108	10957193	990	2691	2.718	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,sG19,sG38	2	1
CLCN6_11822933	CLCN6	chr1	11822933	11822934	+	0.070673	425483	11822935	11823706	4031	6661	1.652	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
MIIP_12021643	MIIP	chr1	12021643	12021644	+	0.041673	435787	12019553	12021644	19055	574318	30.14	25.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
MIIP_12021643	MIIP	chr1	12021643	12021644	+	0.041673	435814	12019975	12021644	1083	3652	3.372	1.0	aC19,cH38,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
MIIP_12021643	MIIP	chr1	12021643	12021644	+	0.041673	435805	12019654	12021644	1066	2603	2.442	1.0	aC19,cH38,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
VPS13D_12319495	VPS13D	chr1	12319495	12319496	+	0.451706	442346	12318338	12319496	18395	259757	14.121	11.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	2	1
VPS13D_12342660	VPS13D	chr1	12342660	12342661	+	0.312797	442811	12342662	12342898	1547	2026	1.31	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	2	1
PADI1_17228623	PADI1	chr1	17228623	17228624	+	0.067819	539183	17226159	17228624	2951	137496	46.593	6.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
PADI1_17228623	PADI1	chr1	17228623	17228624	+	0.067819	539196	17226421	17228624	1721	15085	8.765	3.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
RCC2_17416210	RCC2	chr1	17416210	17416211	-	0.512773	543241	17414678	17416210	41	52	1.268	1.0	cH38	cH38	2	1
ARHGEF10L_17639312	ARHGEF10L	chr1	17639312	17639313	+	0.008343	547626	17639314	17639831	9072	23888	2.633	2.0	cH38,sG38	aC19,cH38,gC19,kG19,sG19,sG38	2	1
ARHGEF10L_17639453	ARHGEF10L	chr1	17639453	17639454	+	0.170752	547659	17639455	17639831	3265	6553	2.007	1.0	aC19,sG19,sG38	aC19,cH38,gC19,kG19,sG19,sG38	2	1
VWA5B1_20323272	VWA5B1	chr1	20323272	20323273	+	0.170354	587946	20323274	20323355	472	1654	3.504	3.0	cH38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	2	1
USP48_21756828	USP48	chr1	21756828	21756829	-	0.016881	621673	21756703	21756828	12459	44363	3.561	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
ZBTB40_22510225	ZBTB40	chr1	22510225	22510226	+	0.050976	648344	22510227	22511178	2055	11786	5.735	3.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
EPHA8_22573175	EPHA8	chr1	22573175	22573176	+	0.234789	649421	22573177	22573677	1537	3470	2.258	1.0	cH38	cH38	2	1
EPHA8_22601298	EPHA8	chr1	22601298	22601299	+	0.012532	649674	22601089	22601299	2151	5135	2.387	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
PNRC2_23960086	PNRC2	chr1	23960086	23960087	+	0.139513	680857	23960088	23960928	1538	1948	1.267	1.0	aC19,cH38,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
PNRC2_23960086	PNRC2	chr1	23960086	23960087	+	0.139513	680858	23960088	23960932	44	49	1.114	1.0	aC19,cH38,sG19,sG38	cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG38,vG19	2	1
IL22RA1_24124047	IL22RA1	chr1	24124047	24124048	-	0.093576	686313	24123424	24124047	827	1596	1.93	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
PPP1R8_27831369	PPP1R8	chr1	27831369	27831370	+	0.061825	791083	27831367	27832755	9843	19171	1.948	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
RAB42_28592749	RAB42	chr1	28592749	28592750	+	0.088595	819717	28592745	28593693	7803	19758	2.532	2.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
RAB42_28592749	RAB42	chr1	28592749	28592750	+	0.088595	819729	28592751	28593693	185	334	1.805	1.0	cH38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
TMEM54_32897775	TMEM54	chr1	32897775	32897776	-	0.351227	919820	32895970	32897775	370	552	1.492	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
PHC2_33327347	PHC2	chr1	33327347	33327348	-	0.202087	930753	33325020	33327347	16645	162858	9.784	6.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,sG19,sG38	2	1
CSMD2_33523069	CSMD2	chr1	33523069	33523070	-	0.103667	934176	33521551	33523069	745	914	1.227	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
GJB3_34784261	GJB3	chr1	34784261	34784262	+	0.050667	940652	34784263	34784737	469	625	1.333	1.0	cH38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
ZMYM1_35099841	ZMYM1	chr1	35099841	35099842	+	0.047155	946843	35099843	35104294	2238	2940	1.314	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	2	1
THRAP3_36287870	THRAP3	chr1	36287870	36287871	+	0.301887	977412	36287872	36289059	15211	97233	6.392	3.0	aC19,cH38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
SH3D21_36308210	SH3D21	chr1	36308210	36308211	+	0.02114	978756	36308210	36308388	15521	241970	15.59	4.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	2	1
