chr	start	end	decoyID	SpliceAI_score	strand	rbpnet	prpf8	smb	n_categories	GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Adipose_b	Adipose_c	Adipose_d	Adrenal_b	Adrenal_c	Amnion	Astrocytes	Bladder_a	Bone_marrow_a	Bone_marrow_b	Bone_marrow_c	Brain_Endoth	Breast_a	Breast_Epith_a	Cerebellum_a	Cerebellum_c	Chorion	CL_293T	CL_EndoBH1C_a	CL_Gm12878	CL_HeLa	CL_K562	CL_LP1	CL_MB231	CL_MCF7	CL_PNT2	CL_SHSY5Y_noRA	CL_SHSY5Y_RA	Colon_b	Colon_sigmoid	Colon_transverse	Cortex	Decidua	Embr_2C_a_A	Embr_2C_a_B	Embr_4C_a_A	Embr_4C_a_B	Embr_4C_a_C	Embr_8C_a_A	Embr_8C_a_B	Embr_8C_a_C	Embr_8C_a_D	Embr_Cortex_13_17wpc	Embr_Forebrain_9_12wpc	Embr_Forebrain_St13_14	Embr_Forebrain_St17_20	Embr_Forebrain_St22_23	Embr_ICM_a_A	Embr_Morula_a_A	Embr_Morula_a_B	Embr_TE_a_A	Embr_TE_a_B	EndomStromCells	EndothCells	EpithelialCells	ESC_H1_a	ESC_H1_b	ESC_H1_c	ESC_H1_d	ESC_H9_a	ESC_H9_b	Fibroblasts	Frontal_Gyrus_old	Frontal_Gyrus_young	GLS_cells	Heart_a	Heart_b	Heart_c	HFDPC	HMEpC_a	iPS_a	iPS_b	Kidney_d	Kidney_e	Kidney_f	Liver_a	Liver_b	Liver_c	Lung_b	Lung_e	Lung_f	Lymph_node_b	Lymph_node_c	Melanocytes	Microglia	MonoNucCells	MSC	Muscle_b	Muscle_d	Muscle_e	NCC_Cranial_c	NCC_default_b	NCC_Enteric_b	NCC_Melano_biased_b	Neuroblastoma	Neurons	Neurons_Cortex_KCl_0h	Neurons_Cortex_KCl_1h	Neurons_Cortex_KCl_6h	NPC_a	NPC_b	Oligodendrocytes	Oocyte_a_A	Ovary_a	Ovary_b	Pancreas_Acinar_Old	Pancreas_Acinar_Young	Pancreas_Alpha_Old	Pancreas_Alpha_Young	Pancreas_Beta_Old	Pancreas_Beta_Young	Pancreas_Duct_Old	Pancreas_Duct_Young	Placenta_a	Placenta_b	Placenta_c	Placenta_Epith	Prostate_b	Prostate_c	Prostate_d	Retina_a	Retina_macular	Retina_peripheral	Skin_a	Skin_b	Skin_c	Skin_d	Small_intestine	Spleen_a	Spleen_b	Stomach_a	Stomach_b	Sup_Temporal_Gyrus	Testis_a	Testis_b	Testis_c	Thymus_a	Thymus_b	Thyroid_b	Thyroid_c	Thyroid_d	WBC_d	WBC_e	Whole_Brain_b	Zygote_a_A	psi_chr	intron_start	intron_end	intron_length	decoy_coord_1based	decoy_distance_from_canonical_5ss
chr10	50807502	50807503	A1CF_50807502	0.152822	-	1	0	0	1	A1CF	HsaINT0000013	chr10:50806881-50809893	3013	chr10:50809894-50810042=50799409-50806880:-	IR						0	100	0					100			15.04		100	0.36							100			2.5	11.72	2.82			0	0	0	0	0	0	0	0	13.18	100	100		100	100			100							100							0	0			32.69			100		3.14	0	0	1.51	1.31	1.47													100						0		0		100		0		0	2.57	0	5.52	1.28	2.26	2.9	100	0				0		0	100		100	100					0.94			0	0		0	100	100		100		100	100		100		0	chr10	50806881	50809893	3013	50807503	2390
chr12	9095421	9095422	A2M_9095421	0.13189	-	0	0	1	1	A2M	HsaINT0000031	chr12:9095085-9095538	454	chr12:9095539-9095700=9094973-9095084:-	IR	0.4	0.95	0.01	0.02	0.22	0	1.39	0.07		0	0	0.1	0.8	0.77	0.39	0.65	0			0					0			0	0.36	0.26	1.39	1.41	0										1.04	1.38	0.49	0.42	1.12							0	0.2	0	49.28		0	0	100	0	0.42	1.98	1.06	0.09	0.95	0.52	0.94	0.19			0.86	0.34	0.08	0	0.74	0.95	0.55	0.37	0.05	0.17	0.09	0	1.48	81.38	0	0	0.44	0.07	49.28	0	0	0		0	0.39	0.24	0.22	0.05	0	0		0.06	0	0	1.07	0	1.1	0	0.06			0.05	0.67	0.42		0.47	0.32	0.05	0	0.08	0.09	0.09	0.95	0.66	0.5	0.27	1.33	0.09	0.09	0.93	1.45	0.13	0.92	0.11	1.71	3.79	0.29	0.05	0.05	0	0	0.66		chr12	9095085	9095538	454	9095422	116
chr12	9100279	9100280	A2M_9100279	0.254284	-	1	1	0	2	A2M	HsaINT0000028	chr12:9099524-9101143	1620	chr12:9101144-9101207=9099381-9099523:-	IR	1.93	1.27	0.32	0.23	0.4	0	27.06	0.21		2.13	1.59	2.04	0.95	5.39	1.93	2.67	0					0			0			0	0.4	4.79	4.31	1.42	0										1.21	2.05	0.29	3.31	0.75							3.15	1.05		49.28			0	100	0	1.93	1.61	3.9	0.2	6.11	1.51	3.66	1.03	100		0.96	1.01	0.56	0.09	2.7	1.36	1.11	0.7	0.28	0	0.17	2.43	21.83	92.92	3.74	0	0.48	0.34	62.16	0	0.67	0.15	100	50	3.59	1.04	3.54	0.11	0.09	12.6		0.46	0.28	19.89	7.59	17.08	9.5	4.48	1.28	100	100	0.45	0.13	1.24		1.74	0.22	0.22	0.12	0.16	0.16	0.69	3.16	1.71	1.51	0.39	9.11	0.21	1.82	1.81	0	0.09	7.44	0.16	5.48	17.25	2.67	0.3	0.16		0	0.39		chr12	9099524	9101143	1620	9100280	863
chr12	9103696	9103697	A2M_9103696	0.224295	-	0	0	1	1	A2M	HsaINT0000026	chr12:9101675-9104238	2564	chr12:9104239-9104400=9101447-9101674:-	IR	1.22	0.17	0.03	0.04	0.26		4.38	0.06		0	0	0	0.28	1.48	0	0.55	0	100							0		0	0	0.26	0.77	3.29	0.24	0										0.56	0.59	0.68	0.98	2.86							8.19	0.14		100	100		0		0	0	2.33	0.33	0.03	1.43	0.2	0	0.14	100		0.31	0	0.28	0	1.13	1.07	0.57	0.2	0	0.17	0	0	2.05	93.12	0	0	0.15	0	0	0	0	0	100	0	0.45	0	0.54	0	0	1.71		0.18	0.3	0	0	5.14	0.8	0	0.21		100	0	0.21	0.64		0.89	0.29	0.06	0	0.16	0.02	0.14	0.75	1.03	0.86	0.22	6.36	0.03	1.38	0.6	0	0.06	3.83	0	1.39	8.02	1.4	0.19	0	34.65		0.36		chr12	9101675	9104238	2564	9103697	541
chr12	125070230	125070231	AACS_125070230	0.352537	+	0	0	1	1	AACS	HsaINT0000122	chr12:125065718-125073875	8158	chr12:125065379-125065717=125073876-125073979:+	IR	1.62	0	0	0	2.86	0	71.43	0		0	4		5.62	1.42	1.33	2.44	0	0	0	0.42	0	1.1	0	0	3.66	0	4.64	3.97	1.89	7.14	26.09	1.03	0	0	0	0		0	0	0			0.6	0.77	0	0.72	0.85			0	0	0	0	1.97	1.59	0	0.64	0	0	0	0.51	0	0	0	0.72	0	11.86	0	4.73	0.95	3.16	1.15	0	0	4.17	0	7.41	0	14.29	0	0	0	0	9.95		14.29	7.49	0	0	0	3.47	0	0	0	0		10	2.56	0	0	0	100	0	0	0	25	15.79	8.27	21.74	17.78	21.21	50	11.11	0	5.71	5.66	2.15	0.87	0	0.94	0	0.41	0	6.27	0.44	6.52	6.22	2.5	3.23	0	6.25	0.96	0	0	6.51	0	0	5.45	7.25	0	0	0	1.41	5.95	0	chr12	125065718	125073875	8158	125070231	4513
chr12	125130203	125130204	AACS_125130203	0.393515	+	0	0	1	1	AACS	HsaINT0000127	chr12:125129461-125134002	4542	chr12:125129335-125129460=125134003-125134072:+	IR	1.94	0	0	0	1.64	1.41	5.26	0	20.47	0	0	33.33	0	5.67	6.96	9.11	0	1.04	0.37	0	1.15	1.43	0.26	0.42	5.37	0.77	6.17	5.18	4	5.78	15.58	1.73	2.7	0.79	0	0	0	0	2.56	0	0	0	1.15	2.26	1.91	2.61	1.07	0	0	0	0	0	0	0.31	1.75	0.67	0.67	0.76	0.87	1.1	0	0.49	1.61	1.1	7.04	0	6.91	0.61	3.15	0.67	0.5	0	0	0	1.96	0	3.99	0	1.96	2.05	0	1.32	0.38	0.8	100	41.38	4.31	0	4.47	0	5.53	0.72	0.61	0.66	0		0	0.77	0	1.56	0	33.33	0	5.26	0.28	14.43	5.26	18.3	14.21	18.1	12.27	9.17	9.76	2.31	1.27	6.54	3.64	7.2	3.98	1.17	0	0.25	1.02	3.84	1.38	6.13	5.01	2.02	12.33	0	25.55	2.65	1.2	0.16	22.44	1.11	0	14.06	1.98	0.57	0.4	0	0	6.71	0	chr12	125129461	125134002	4542	125130204	743
chr12	125132452	125132453	AACS_125132452	0.122535	+	1	0	0	1	AACS	HsaINT0000127	chr12:125129461-125134002	4542	chr12:125129335-125129460=125134003-125134072:+	IR	1.94	0	0	0	1.64	1.41	5.26	0	20.47	0	0	33.33	0	5.67	6.96	9.11	0	1.04	0.37	0	1.15	1.43	0.26	0.42	5.37	0.77	6.17	5.18	4	5.78	15.58	1.73	2.7	0.79	0	0	0	0	2.56	0	0	0	1.15	2.26	1.91	2.61	1.07	0	0	0	0	0	0	0.31	1.75	0.67	0.67	0.76	0.87	1.1	0	0.49	1.61	1.1	7.04	0	6.91	0.61	3.15	0.67	0.5	0	0	0	1.96	0	3.99	0	1.96	2.05	0	1.32	0.38	0.8	100	41.38	4.31	0	4.47	0	5.53	0.72	0.61	0.66	0		0	0.77	0	1.56	0	33.33	0	5.26	0.28	14.43	5.26	18.3	14.21	18.1	12.27	9.17	9.76	2.31	1.27	6.54	3.64	7.2	3.98	1.17	0	0.25	1.02	3.84	1.38	6.13	5.01	2.02	12.33	0	25.55	2.65	1.2	0.16	22.44	1.11	0	14.06	1.98	0.57	0.4	0	0	6.71	0	chr12	125129461	125134002	4542	125132453	2992
chr4	170069353	170069354	AADAT_170069353	0.147244	-	1	1	0	2	AADAT	HsaINT0000169	chr4:170069231-170070586	1356	chr4:170070587-170070652=170069148-170069230:-	IR	43.18	42.89	21.18	9.86	50.96	0	66.01	45.54		35.35	100	0	19.91	84.74	53.82	55.14	100	42.86	14.92		18.83			0	37.01	0	22.62	33.12	42.75	63.31	61.21	47.48	100	0	0			0	0	0			24.62	34.82	46.58	47.96	47.3	0	0	0	0	0	58.26	100	63.84	20	12.33	54.11	48.05	44.83	16.61	10.7	44.47	62.62	57.89	50.29	44.31	57.43	21.02	30.98	32.29	19.21	0	7.25	5.19	5.56	15.31	14.15	46.37	57.24	49.36	100	34.36	23.28			40.7		80.22	75.98	19.01	13.8	8.89	9.29	40.68	100	22.35	16.09	15.63	8.51	18.54	57.64	0	13.34	48.39	75	82.42	33.75	21.88	51.88	36.25	56.01	28.15	64.98	100	51.15	46.17	47.63	54.34	24.55	38.33	34.17	17.38	0	29.49	45.35	48.59	63.77	27.27	59.79		28.09	40.06	10.06	43.36	19.56	52.24	25.87	79.5	37.91	36.99			20.82	0	chr4	170069231	170070586	1356	170069354	1232
chr2	69522332	69522333	AAK1_69522332	0.176644	-	1	0	0	1	AAK1	HsaINT0000182	chr2:69520989-69525032	4044	chr2:69525033-69525112=69520834-69520988:-	IR	18.03	1.92	0	5.13	5.8	0	7.35	11.11	3.7	3.1	4.72	6.67	0	34.19	0.81	1.98	0	0	0.81	1.69	0	3.18	0	0	12	0.69	15.98	19.1	2.86	17.19	22.41	0.68	2.04	0	0	0	0	0	0	0	0		3.36	6.61	9.52	1.23	3.37		0	0	100	0	0	7.36	5.81	0	2.7	0	0	0	8.41	2.14	0	2.3	18.18	0.62	19.28	1.98	4.02	2.73	1.56	1.12	6.67	0	8.1	0	42.22	42.86	20.88	15.92	2.98	1.01	0	6.82	8.47	11.98	7.19	0	12	3.85	2	0	0	1.69	2.26	0	1.94	1.98	1.41	0	0	9.68	9.68	8.7	3.45	0.62	2.7	3.99	7.06	5.24	3.54	2.62	4.07	5.26	24.32	7.69	7.67	9.61	2.86	1.96	0.47	0.73	0.53	6.61	7.59	20	12.2	6.42	12.5	0	0.4	6.91	0	0	18.44	0	21.05	7.09	17.41	2.47	2.52	1.89	0.53	4.49	0	chr2	69520989	69525032	4044	69522333	2699
chr2	69525388	69525389	AAK1_69525388	0.131947	-	0	1	0	1	AAK1	HsaINT0000201	chr2:69525113-69527215	2103	chr2:69527216-69527319=69525033-69525112:-	IR	30.73	6.49	2.73	1	8.42	0	31.77	4.23	56.81	21.85	26.73	23.29	15.29	45.08	1.7	4.28	0	5.22	1.59	3.43	1.26	3.1	0	0	21.08	3.47	22.68	12.79	11.85	27.63	42.9	0.46	8.3	0	0	0	0	0	0	5.12	0		3.6	4.24	21.73	5.16	9.59		0	0		0	4.76	14.15	13.28	0	9.27	0.82	2.85	2.49	1.35	3.29	1.13	1.05	19.36	2.78	25.36	5.93	13.2	7.77	4.52	1.2	16.9	3.6	9.78	0	38.1	47.66	33.05	24.02	1.27	2.12	1.62	6.95	60.84	46.36	21.62	0	3.7	2.49	4.96	2.22	0	0	7.23	9.74	9.27	5.64	7.68	0.6	2.78	35.22	7.69	4.57	17.05	32.32	27.24	35.26	47.83	24.8	44.09	30.37	33.69	12.37	34.78	24.82	14.95	12.79	3.7	6.6	1.35	0.72	0.36	9.09	18.23	56.58	39.06	14.15	26.51	3.08	53.29	18	0	4.31	24.59	2.92	35.32	7.55	31.79	6.38	4.04	10.74	5.46	14.09	0	chr2	69525113	69527215	2103	69525389	1826
