decoyID	species	max1	pos1	max2	pos2	d	clade	matched_common_name
CCDC6_59806065	gadMor1	0.346672	49	0.34151	88	0.9448	Fish	Atlantic cod
PARD3_34564782	gadMor1	0.553642	49	0.431207	173	0.994142	Fish	Atlantic cod
SIRT1_67889864	gadMor1	0.94992	48	0.459235	194	0.915019	Fish	Atlantic cod
CDH23_71731866	gadMor1	0.902939	23	0.900778	48	0.873059	Fish	Atlantic cod
ABCC2_99817195	gadMor1	0.00622	73	0.618015	110	0.973487	Fish	Atlantic cod
ACTR1A_102484553	gadMor1	0.624668	19	0.575306	298	0.738542	Fish	Atlantic cod
SH3PXD2A_103616406	gadMor1	0.693768	49	0.344855	167	0.958343	Fish	Atlantic cod
ADD3_110125505	gadMor1	0.160938	60	0.328116	163	0.861212	Fish	Atlantic cod
SORCS1_106627833	gadMor1	0.101126	49	0.582886	106	0.986841	Fish	Atlantic cod
SORCS1_106677830	gadMor1	0.70128	49	0.357455	102	0.838974	Fish	Atlantic cod
USP47_11929875	gadMor1	0.604752	48	0.629116	196	0.192374	Fish	Atlantic cod
ARL2_65020323	gadMor1	0.351542	66	0.313568	126	0.901906	Fish	Atlantic cod
DDB2_47233138	gadMor1	0.000784	52	0.701476	218	0.791472	Fish	Atlantic cod
PYGM_64752099	gadMor1	0.972471	49	0.77343	247	0.413953	Fish	Atlantic cod
NADSYN1_71483148	gadMor1	0.036204	48	0.301347	117	0.913137	Fish	Atlantic cod
POLD3_74605359	gadMor1	0.368654	48	0.331277	127	0.98045	Fish	Atlantic cod
HYOU1_119051351	gadMor1	0.225781	49	0.36476	149	0.570248	Fish	Atlantic cod
USP2_119357689	gadMor1	0.540523	49	0.405206	73	0.132075	Fish	Atlantic cod
CRACR2A_3630041	gadMor1	0.869504	49	0.609636	322	0.88976	Fish	Atlantic cod
GALNT8_4724535	gadMor1	0.008709	8	0.491419	139	0.967607	Fish	Atlantic cod
GRIN2B_13615832	gadMor1	0.153851	44	0.428328	116	0.866142	Fish	Atlantic cod
PIK3C2G_18493764	gadMor1	0.067779	0	0.366055	183	0.867449	Fish	Atlantic cod
CCNT1_48716415	gadMor1	0.01994	49	0.731856	113	0.856391	Fish	Atlantic cod
SCN8A_51782986	gadMor1	0.878257	48	0.338001	166	0.930141	Fish	Atlantic cod
LRP1_57173065	gadMor1	0.930924	51	0.395723	181	0.921192	Fish	Atlantic cod
LRP1_57176472	gadMor1	0.533175	53	0.583865	242	0.64666	Fish	Atlantic cod
ATP2B1_89617460	gadMor1	0.282691	49	0.530606	166	0.937868	Fish	Atlantic cod
GIT2_109944620	gadMor1	0.634186	49	0.391267	213	0.963018	Fish	Atlantic cod
GIT2_109967737	gadMor1	0.958409	49	0.325886	133	0.989887	Fish	Atlantic cod
ADGRD1_131105032	gadMor1	0.149259	48	0.584839	206	0.720044	Fish	Atlantic cod
SETD1B_121804388	gadMor1	0.052593	98	0.567031	362	0.212224	Fish	Atlantic cod
ATP8A2_25562090	gadMor1	0.080373	8	0.805813	221	0.887619	Fish	Atlantic cod
IPO5_97989525	gadMor1	0.781535	48	0.339042	208	0.799057	Fish	Atlantic cod
MBNL2_97343644	gadMor1	0.761131	45	0.468583	377	0.832067	Fish	Atlantic cod
TBC1D4_75357831	gadMor1	0.657315	49	0.487498	226	0.936117	Fish	Atlantic cod
ATP4B_113656008	gadMor1	0.025427	49	0.681027	293	0.846347	Fish	Atlantic cod
NAXD_110625007	gadMor1	0.430382	2	0.36036	79	0.831516	Fish	Atlantic cod
TUBGCP3_112561445	gadMor1	0.33456	92	0.435436	119	0.946988	Fish	Atlantic cod
PNN_39175521	gadMor1	2.6e-05	15	0.637214	116	0.753982	Fish	Atlantic cod
STYX_52755916	gadMor1	0.97686	46	0.989425	207	0.881882	Fish	Atlantic cod
PROX2_74861210	gadMor1	0.003867	37	0.610301	727	0.871737	Fish	Atlantic cod
SYT16_62083146	gadMor1	0.122027	62	0.821923	129	0.896026	Fish	Atlantic cod
MTA1_105460683	gadMor1	0.136917	48	0.507197	140	0.64532	Fish	Atlantic cod
RYR3_33747957	gadMor1	0.032293	48	0.57761	115	0.942579	Fish	Atlantic cod
SRP14_40037047	gadMor1	0.64675	49	0.368114	159	0.877386	Fish	Atlantic cod
DLL4_40934496	gadMor1	0.726368	48	0.630203	96	0.787176	Fish	Atlantic cod
DUOX1_45160588	gadMor1	0.645501	48	0.334099	226	0.921294	Fish	Atlantic cod
PAK6_40268293	gadMor1	0.178187	75	0.613881	188	0.933585	Fish	Atlantic cod
TGM7_43281085	gadMor1	0.978498	49	0.321709	243	0.796585	Fish	Atlantic cod
TUBGCP4_43395835	gadMor1	0.018095	48	0.382304	113	0.920567	Fish	Atlantic cod
FBN1_48423547	gadMor1	0.119172	49	0.371396	121	0.962342	Fish	Atlantic cod
FBN1_48471471	gadMor1	0.078168	49	0.454527	150	0.842578	Fish	Atlantic cod
VPS13C_61967855	gadMor1	0.467919	21	0.320467	49	0.891795	Fish	Atlantic cod
MYO9A_71827174	gadMor1	0.003409	49	0.603618	160	0.826411	Fish	Atlantic cod
RASGRF1_79018507	gadMor1	0.317141	49	0.360883	101	0.950739	Fish	Atlantic cod
TRIP4_64417714	gadMor1	0.005773	10	0.432942	122	0.969512	Fish	Atlantic cod
RP11-697E2.12_90295035	gadMor1	0.000473	36	0.69187	109	0.596288	Fish	Atlantic cod
SLCO3A1_92127059	gadMor1	0.390089	48	0.416531	148	0.916438	Fish	Atlantic cod
CASKIN1_2183260	gadMor1	0.104496	74	0.444698	105	0.757025	Fish	Atlantic cod
LONP2_48347379	gadMor1	0.090297	32	0.387989	394	0.966106	Fish	Atlantic cod
MTSS1L_70678003	gadMor1	0.082109	49	0.336106	205	0.252772	Fish	Atlantic cod
CMIP_81516552	gadMor1	0.921971	48	0.33253	2318	0.974236	Fish	Atlantic cod
PLCG2_81935002	gadMor1	0.052256	45	0.520985	114	0.904954	Fish	Atlantic cod
SPIRE2_89861285	gadMor1	0.004292	9	0.52609	114	0.956819	Fish	Atlantic cod
TMEM231_75540775	gadMor1	0.334705	47	0.345791	114	0.848509	Fish	Atlantic cod
ANKFY1_4206051	gadMor1	0.116011	49	0.631005	104	0.987559	Fish	Atlantic cod
MYBBP1A_4550737	gadMor1	0.000482	49	0.490754	105	0.928	Fish	Atlantic cod
MYH4_10456957	gadMor1	0.00097	72	0.392009	126	0.725857	Fish	Atlantic cod
TOM1L2_17883077	gadMor1	0.881687	49	0.450445	79	0.806314	Fish	Atlantic cod
BLMH_30290523	gadMor1	0.42338	49	0.60412	317	0.731707	Fish	Atlantic cod
DNAJC7_41995088	gadMor1	0.13197	49	0.442031	177	0.828669	Fish	Atlantic cod
KRT33A_41347638	gadMor1	0.014564	49	0.997482	232	0.373068	Fish	Atlantic cod
KRT39_40961657	gadMor1	0.007959	49	0.701533	160	0.903923	Fish	Atlantic cod
MED24_40027351	gadMor1	0.256491	85	0.999108	954	0.807249	Fish	Atlantic cod
IGF2BP1_49048693	gadMor1	0.56004	48	0.578802	168	0.940526	Fish	Atlantic cod
NPEPPS_47584395	gadMor1	0.003287	48	0.705275	109	0.959258	Fish	Atlantic cod
CSNK1D_82245936	gadMor1	0.641021	49	0.617177	192	0.951956	Fish	Atlantic cod
LAMA1_7021098	gadMor1	0.562453	49	0.355313	136	0.974311	Fish	Atlantic cod
PIEZO2_10685328	gadMor1	0.050115	49	0.650529	131	0.981638	Fish	Atlantic cod
NPC1_23540743	gadMor1	0.023409	34	0.34209	124	0.72337	Fish	Atlantic cod
CDH7_65861542	gadMor1	0.425066	67	0.57634	146	0.85131	Fish	Atlantic cod
KANK3_8330162	gadMor1	0.007474	27	0.550193	130	0.977545	Fish	Atlantic cod
RAB8A_16115694	gadMor1	0.788798	48	0.368585	90	0.96174	Fish	Atlantic cod
KMT2B_35722938	gadMor1	0.82832	58	0.391934	100	0.28	Fish	Atlantic cod
VPS13D_12302613	gadMor1	0.202853	48	0.402178	114	0.965326	Fish	Atlantic cod
VPS13D_12508375	gadMor1	0.01754	48	0.754424	118	0.934668	Fish	Atlantic cod
SNRNP40_31269759	gadMor1	0.003254	49	0.675455	114	0.944569	Fish	Atlantic cod
STX12_27805147	gadMor1	0.087941	85	0.77396	155	0.98124	Fish	Atlantic cod
TMEM57_25450301	gadMor1	0.971424	48	0.367616	246	0.925318	Fish	Atlantic cod
CACHD1_64660388	gadMor1	0.011197	48	0.415929	117	0.959146	Fish	Atlantic cod
NFYC_40754485	gadMor1	0.781346	48	0.473989	241	0.942489	Fish	Atlantic cod
OSBPL9_51783769	gadMor1	0.124289	48	0.666211	124	0.891971	Fish	Atlantic cod
PRKAA2_56706468	gadMor1	0.29204	48	0.421353	104	0.903321	Fish	Atlantic cod
USP24_55168851	gadMor1	0.21989	52	0.420345	113	0.974856	Fish	Atlantic cod
CHIA_111311397	gadMor1	0.645974	46	0.796434	245	0.798456	Fish	Atlantic cod
UBAP2L_154264623	gadMor1	0.922961	48	0.424674	132	0.946756	Fish	Atlantic cod
GPR161_168100855	gadMor1	0.57171	49	0.461145	224	0.962686	Fish	Atlantic cod
KIRREL_158080502	gadMor1	0.001682	19	0.444979	105	0.981505	Fish	Atlantic cod
TNR_175392866	gadMor1	0.903723	49	0.333352	336	0.829508	Fish	Atlantic cod
CEP350_180000047	gadMor1	0.710882	5	0.335377	48	0.922749	Fish	Atlantic cod
HMCN1_186062118	gadMor1	0.188834	48	0.316515	163	0.737654	Fish	Atlantic cod
IARS2_220096506	gadMor1	0.101353	48	0.521702	102	0.975928	Fish	Atlantic cod
MDM4_204528228	gadMor1	0.16205	48	0.905056	780	0.732061	Fish	Atlantic cod
ANGPT4_880089	gadMor1	0.244314	49	0.447229	103	0.874736	Fish	Atlantic cod
CRNKL1_20046815	gadMor1	0.144461	49	0.327187	137	0.936895	Fish	Atlantic cod
HSPA12B_3751388	gadMor1	0.583642	48	0.326326	158	0.735043	Fish	Atlantic cod
RRBP1_17615692	gadMor1	0.706409	1	0.399415	480	0.00202	Fish	Atlantic cod
